station,city,datetime,predicted_aqi
16,0,2026-01-01 17:00:00,484.1912732683777
16,0,2026-01-01 18:00:00,484.1912732683777
16,0,2026-01-01 19:00:00,484.1912732683777
16,0,2026-01-01 20:00:00,484.1912732683777
16,0,2026-01-01 21:00:00,484.1912732683777
16,0,2026-01-01 22:00:00,484.1912732683777
16,0,2026-01-01 23:00:00,484.1912732683777
17,0,2026-01-01 00:00:00,468.18104287126755
17,0,2026-01-01 01:00:00,468.18104287126755
17,0,2026-01-01 02:00:00,468.18104287126755
17,0,2026-01-01 03:00:00,468.18104287126755
17,0,2026-01-01 04:00:00,468.18104287126755
17,0,2026-01-01 05:00:00,468.18104287126755
17,0,2026-01-01 06:00:00,468.18104287126755
17,0,2026-01-01 07:00:00,468.18104287126755
17,0,2026-01-01 08:00:00,468.18104287126755
17,0,2026-01-01 09:00:00,468.18104287126755
17,0,2026-01-01 10:00:00,448.0040711033489
17,0,2026-01-01 11:00:00,448.0040711033489
17,0,2026-01-01 12:00:00,448.0040711033489
17,0,2026-01-01 13:00:00,448.0040711033489
17,0,2026-01-01 14:00:00,448.0040711033489
17,0,2026-01-01 15:00:00,448.0040711033489
17,0,2026-01-01 16:00:00,463.7988274295388
17,0,2026-01-01 17:00:00,463.7988274295388
17,0,2026-01-01 18:00:00,463.7988274295388
17,0,2026-01-01 19:00:00,463.7988274295388
17,0,2026-01-01 20:00:00,463.7988274295388
17,0,2026-01-01 21:00:00,463.5938274295388
17,0,2026-01-01 22:00:00,463.5938274295388
17,0,2026-01-01 23:00:00,463.5938274295388
18,0,2026-01-01 00:00:00,440.74858381127905
18,0,2026-01-01 01:00:00,440.74858381127905
18,0,2026-01-01 02:00:00,440.74858381127905
18,0,2026-01-01 03:00:00,440.74858381127905
18,0,2026-01-01 04:00:00,440.74858381127905
18,0,2026-01-01 05:00:00,440.74858381127905
18,0,2026-01-01 06:00:00,440.74858381127905
18,0,2026-01-01 07:00:00,440.74858381127905
18,0,2026-01-01 08:00:00,440.74858381127905
18,0,2026-01-01 09:00:00,440.74858381127905
18,0,2026-01-01 10:00:00,428.7780427727111
18,0,2026-01-01 11:00:00,428.7780427727111
18,0,2026-01-01 12:00:00,428.7780427727111
18,0,2026-01-01 13:00:00,428.7780427727111
18,0,2026-01-01 14:00:00,428.7780427727111
18,0,2026-01-01 15:00:00,428.7780427727111
18,0,2026-01-01 16:00:00,430.64700253397416
18,0,2026-01-01 17:00:00,430.64700253397416
18,0,2026-01-01 18:00:00,430.64700253397416
18,0,2026-01-01 19:00:00,430.64700253397416
18,0,2026-01-01 20:00:00,430.64700253397416
18,0,2026-01-01 21:00:00,435.6750160019876
18,0,2026-01-01 22:00:00,435.6750160019876
18,0,2026-01-01 23:00:00,435.6750160019876
19,0,2026-01-01 00:00:00,438.77296122565446
19,0,2026-01-01 01:00:00,438.77296122565446
19,0,2026-01-01 02:00:00,438.77296122565446
19,0,2026-01-01 03:00:00,438.77296122565446
19,0,2026-01-01 04:00:00,438.77296122565446
19,0,2026-01-01 05:00:00,438.77296122565446
19,0,2026-01-01 06:00:00,438.77296122565446
19,0,2026-01-01 07:00:00,438.77296122565446
19,0,2026-01-01 08:00:00,438.77296122565446
19,0,2026-01-01 09:00:00,438.77296122565446
19,0,2026-01-01 10:00:00,431.8600885933827
19,0,2026-01-01 11:00:00,431.8600885933827
19,0,2026-01-01 12:00:00,431.8600885933827
19,0,2026-01-01 13:00:00,432.12508859338277
19,0,2026-01-01 14:00:00,432.12508859338277
19,0,2026-01-01 15:00:00,432.12508859338277
19,0,2026-01-01 16:00:00,439.39598667468977
19,0,2026-01-01 17:00:00,439.39598667468977
19,0,2026-01-01 18:00:00,439.39598667468977
19,0,2026-01-01 19:00:00,439.39598667468977
19,0,2026-01-01 20:00:00,439.39598667468977
19,0,2026-01-01 21:00:00,442.71579021474173
19,0,2026-01-01 22:00:00,442.71579021474173
19,0,2026-01-01 23:00:00,442.71579021474173
20,0,2026-01-01 00:00:00,481.4533403808807
20,0,2026-01-01 01:00:00,481.4533403808807
20,0,2026-01-01 02:00:00,481.4533403808807
20,0,2026-01-01 03:00:00,481.4533403808807
20,0,2026-01-01 04:00:00,481.4533403808807
20,0,2026-01-01 05:00:00,481.4533403808807
20,0,2026-01-01 06:00:00,481.4533403808807
20,0,2026-01-01 07:00:00,481.4533403808807
20,0,2026-01-01 08:00:00,481.4533403808807
20,0,2026-01-01 09:00:00,481.4533403808807
20,0,2026-01-01 10:00:00,452.45124535263386
20,0,2026-01-01 11:00:00,452.45124535263386
20,0,2026-01-01 12:00:00,452.45124535263386
20,0,2026-01-01 13:00:00,452.293168429557
20,0,2026-01-01 14:00:00,452.293168429557
20,0,2026-01-01 15:00:00,452.323168429557
20,0,2026-01-01 16:00:00,468.7455733936293
20,0,2026-01-01 17:00:00,468.7455733936293
20,0,2026-01-01 18:00:00,468.7455733936293
20,0,2026-01-01 19:00:00,468.7455733936293
20,0,2026-01-01 20:00:00,468.7455733936293
20,0,2026-01-01 21:00:00,468.7455733936293
20,0,2026-01-01 22:00:00,468.7455733936293
20,0,2026-01-01 23:00:00,468.7455733936293
21,0,2026-01-01 00:00:00,437.8115418648642
21,0,2026-01-01 01:00:00,437.8115418648642
21,0,2026-01-01 02:00:00,437.8115418648642
21,0,2026-01-01 03:00:00,437.8115418648642
21,0,2026-01-01 04:00:00,437.8115418648642
21,0,2026-01-01 05:00:00,437.8115418648642
21,0,2026-01-01 06:00:00,437.8115418648642
21,0,2026-01-01 07:00:00,437.8115418648642
21,0,2026-01-01 08:00:00,437.8115418648642
21,0,2026-01-01 09:00:00,437.8115418648642
21,0,2026-01-01 10:00:00,417.19377618056103
21,0,2026-01-01 11:00:00,417.19377618056103
21,0,2026-01-01 12:00:00,417.19377618056103
21,0,2026-01-01 13:00:00,417.81377618056104
21,0,2026-01-01 14:00:00,417.81377618056104
21,0,2026-01-01 15:00:00,417.81377618056104
21,0,2026-01-01 16:00:00,427.67646911089207
21,0,2026-01-01 17:00:00,427.67646911089207
21,0,2026-01-01 18:00:00,427.67646911089207
21,0,2026-01-01 19:00:00,427.67646911089207
21,0,2026-01-01 20:00:00,427.67646911089207
21,0,2026-01-01 21:00:00,432.9534083020904
21,0,2026-01-01 22:00:00,432.9534083020904
21,0,2026-01-01 23:00:00,432.9534083020904
22,0,2026-01-01 00:00:00,482.18154516970105
22,0,2026-01-01 01:00:00,482.18154516970105
22,0,2026-01-01 02:00:00,482.18154516970105
22,0,2026-01-01 03:00:00,482.18154516970105
22,0,2026-01-01 04:00:00,482.18154516970105
22,0,2026-01-01 05:00:00,482.18154516970105
22,0,2026-01-01 06:00:00,482.18154516970105
22,0,2026-01-01 07:00:00,482.18154516970105
22,0,2026-01-01 08:00:00,482.18154516970105
22,0,2026-01-01 09:00:00,482.18154516970105
22,0,2026-01-01 10:00:00,457.89334850853106
22,0,2026-01-01 11:00:00,457.89334850853106
22,0,2026-01-01 12:00:00,457.89334850853106
22,0,2026-01-01 13:00:00,457.89334850853106
22,0,2026-01-01 14:00:00,457.89334850853106
22,0,2026-01-01 15:00:00,457.89334850853106
22,0,2026-01-01 16:00:00,472.79471417582107
22,0,2026-01-01 17:00:00,472.79471417582107
22,0,2026-01-01 18:00:00,472.79471417582107
22,0,2026-01-01 19:00:00,472.79471417582107
22,0,2026-01-01 20:00:00,472.79471417582107
22,0,2026-01-01 21:00:00,473.29971417582107
22,0,2026-01-01 22:00:00,473.29971417582107
22,0,2026-01-01 23:00:00,473.29971417582107
